"","word","n"
"1","1",523308
"2","2",310074
"3","cup",173486
"4","4",142497
"5","tablespoons",93827
"6","3",91681
"7","teaspoon",87269
"8","and",85865
"9","salt",75691
"10","chopped",73844
"11","pepper",65999
"12","cups",62331
"13","ground",55328
"14","tablespoon",53386
"15","oil",52636
"16","fresh",51205
"17","for",41924
"18","freshly",39472
"19","or",38855
"20","sugar",38394
"21","black",37892
"22","butter",34254
"23","garlic",32393
"24","sliced",32168
"25","olive",31397
"26","ounces",30547
"27","kosher",30363
"28","large",29536
"29","teaspoons",28292
"30","red",26329
"31","cut",25441
"32","into",25375
"33","8",23833
"34","to",23821
"35","finely",23534
"36","leaves",23145
"37","pound",22608
"38","plus",21659
"39","cream",21411
"40","onion",21405
"41","6",21264
"42","flour",21206
"43","juice",20381
"44","minced",19710
"45","sauce",19470
"46","diced",19224
"47","white",18912
"48","peeled",18450
"49","cloves",18421
"50","lemon",17980
"51","grated",17826
"52","inch",17718
"53","unsalted",17515
"54","cheese",16866
"55","powder",16792
"56","of",16302
"57","small",16166
"58","extra",15901
"59","chicken",15746
"60","water",14677
"61","all",14668
"62","ounce",14642
"63","purpose",14127
"64","vinegar",13979
"65","virgin",13425
"66","pounds",13347
"67","vanilla",13221
"68","milk",12675
"69","dried",12487
"70","medium",12463
"71","whole",12457
"72","wine",12420
"73","thinly",12404
"74","eggs",12323
"75","parsley",12139
"76","egg",11858
"77","recipe",11457
"78","tomatoes",11349
"79","vegetable",11147
"80","green",10742
"81","garnish",10725
"82","12",10542
"83","follows",10513
"84","slices",10400
"85","5",10366
"86","more",10111
"87","pieces",10041
"88","in",9854
"89","baking",9851
"90","extract",9614
"91","brown",9203
"92","pinch",8776
"93","chocolate",8752
"94","the",8610
"95","as",8209
"96","can",8158
"97","serving",8156
"98","thyme",8071
"99","mustard",8050
"100","heavy",8019
"101","shredded",8015
"102","lime",7905
"103","orange",7798
"104","cilantro",7690
"105","dry",7610
"106","room",7571
"107","temperature",7561
"108","cinnamon",7380
"109","halved",7358
"110","onions",7327
"111","one",7209
"112","bread",7079
"113","seeded",7035
"114","rice",7009
"115","stock",6962
"116","crushed",6758
"117","seeds",6685
"118","yellow",6640
"119","ginger",6618
"120","drained",6612
"121","at",6575
"122","a",6456
"123","hot",6426
"124","frozen",6312
"125","bell",6298
"126","potatoes",6282
"127","taste",6206
"128","celery",6182
"129","tomato",6152
"130","granulated",6147
"131","honey",6110
"132","basil",6093
"133","removed",6049
"134","with",5967
"135","toasted",5958
"136","parmesan",5819
"137","zest",5813
"138","such",5801
"139","beef",5770
"140","corn",5664
"141","sprigs",5655
"142","10",5624
"143","light",5583
"144","bunch",5466
"145","thick",5452
"146","leaf",5447
"147","packed",5401
"148","half",5334
"149","cooked",5332
"150","coarsely",5250
"151","clove",5188
"152","optional",5130
"153","sweet",5084
"154","canola",5040
"155","sour",5018
"156","broth",4968
"157","melted",4876
"158","cumin",4813
"159","peppers",4806
"160","scallions",4785
"161","cayenne",4751
"162","beans",4725
"163","flakes",4713
"164","paprika",4561
"165","ice",4560
"166","bacon",4541
"167","trimmed",4536
"168","bay",4514
"169","chili",4412
"170","roughly",4404
"171","apple",4400
"172","sea",4373
"173","roasted",4297
"174","juiced",4280
"175","pure",4275
"176","carrots",4266
"177","soy",4266
"178","oregano",4256
"179","mayonnaise",4235
"180","seasoning",4224
"181","mushrooms",4222
"182","syrup",4181
"183","pork",4166
"184","chile",4137
"185","soda",4133
"186","package",4125
"187","beaten",4077
"188","cooking",4057
"189","on",4057
"190","stick",4024
"191","thin",4010
"192","dark",3981
"193","dijon",3948
"194","paste",3917
"195","cold",3906
"196","quartered",3813
"197","cubes",3806
"198","low",3802
"199","italian",3733
"200","softened",3731
"201","spray",3690
"202","sesame",3679
"203","boneless",3667
"204","shrimp",3663
"205","ripe",3628
"206","chives",3589
"207","about",3552
"208","baby",3542
"209","rinsed",3523
"210","sodium",3479
